Now on  1  of  20 . M = 25 , T = 5 
Now on  2  of  20 . M = 50 , T = 5 
Now on  3  of  20 . M = 100 , T = 5 
Now on  4  of  20 . M = 200 , T = 5 
Now on  5  of  20 . M = 25 , T = 25 
Now on  6  of  20 . M = 50 , T = 25 
Now on  7  of  20 . M = 100 , T = 25 
Now on  8  of  20 . M = 200 , T = 25 
Now on  9  of  20 . M = 25 , T = 50 
Now on  10  of  20 . M = 50 , T = 50 
Now on  11  of  20 . M = 100 , T = 50 
Now on  12  of  20 . M = 200 , T = 50 
Now on  13  of  20 . M = 25 , T = 100 
Now on  14  of  20 . M = 50 , T = 100 
Now on  15  of  20 . M = 100 , T = 100 
Now on  16  of  20 . M = 200 , T = 100 
Now on  17  of  20 . M = 25 , T = 200 
Now on  18  of  20 . M = 50 , T = 200 
Now on  19  of  20 . M = 100 , T = 200 
Now on  20  of  20 . M = 200 , T = 200 
Now on  1  of  20 . M = 25 , T = 5 
Now on  2  of  20 . M = 50 , T = 5 
Now on  3  of  20 . M = 100 , T = 5 
Now on  4  of  20 . M = 200 , T = 5 
Now on  5  of  20 . M = 25 , T = 25 
Now on  6  of  20 . M = 50 , T = 25 
Now on  7  of  20 . M = 100 , T = 25 
Now on  8  of  20 . M = 200 , T = 25 
Now on  9  of  20 . M = 25 , T = 50 
Now on  10  of  20 . M = 50 , T = 50 
Now on  11  of  20 . M = 100 , T = 50 
Now on  12  of  20 . M = 200 , T = 50 
Now on  13  of  20 . M = 25 , T = 100 
Now on  14  of  20 . M = 50 , T = 100 
Now on  15  of  20 . M = 100 , T = 100 
Now on  16  of  20 . M = 200 , T = 100 
Now on  17  of  20 . M = 25 , T = 200 
Now on  18  of  20 . M = 50 , T = 200 
Now on  19  of  20 . M = 100 , T = 200 
Now on  20  of  20 . M = 200 , T = 200 
